#{"t_start": 1772110227.517854, "env_id": "V2GEnv-profit"}
r,l,t
-17.257717,33,1.163094
-20.239258,9,1.164096
-8.321326,19,1.166095
-36.542614,8,1.167095
-14.405814,22,1.170094
-24.129175,11,1.171096
-17.864718,26,1.173095
-22.276496,5,1.174094
-14.577332,11,1.176095
-18.954796,12,1.177095
-19.146545,12,1.179094
-24.089512,12,1.180095
-16.847161,27,1.183094
-20.941581,8,1.184095
-18.64072,17,1.186095
-19.509386,15,1.187094
-41.691614,12,1.189095
-25.511924,11,1.190094
-17.994375,11,1.191094
-24.424458,28,1.194095
-21.10483,10,1.195096
-22.156012,15,1.197093
-24.046322,19,1.199094
-13.187059,35,1.202094
-20.39191,11,1.203094
-14.907644,20,1.209096
-19.607764,29,1.215095
-7.980568,17,1.217096
-21.697886,11,1.219095
-28.631342,17,1.222099
-11.374195,24,1.224099
-14.418373,12,1.225098
-24.087267,9,1.226098
-19.013787,19,1.228098
-12.864966,26,1.231099
-17.780259,23,1.233099
-13.919907,17,1.235609
-5.492116,17,1.236609
-19.466277,18,1.239608
-28.797559,15,1.241609
-28.772837,28,1.244607
-11.952725,23,1.246607
-21.323638,14,1.247607
-17.691785,12,1.249607
-23.693407,13,1.250607
-28.041781,17,1.25261
-26.428483,32,1.255607
-16.668477,15,1.257607
-27.87022,15,1.258607
-18.826408,14,1.261607
-21.09571,18,1.263608
-18.576913,32,1.26661
-18.664194,13,1.268608
-8.249343,8,1.269608
-13.037504,9,1.270608
-32.153463,21,1.272608
-27.210266,15,1.273608
-19.17359,28,1.276607
-18.215775,14,2.075338
-14.504617,25,2.136852
-23.354011,44,2.250966
-21.221921,13,2.284967
-7.32969,16,2.321971
-8.787408,18,2.366393
-32.818594,61,2.516904
-9.938027,26,2.584421
-25.456529,54,2.733835
-21.755846,53,2.863478
-33.015522,62,3.026994
-16.748533,30,3.098467
-25.650104,70,3.25149
-26.575557,78,3.419002
-54.761763,78,3.577465
-17.270751,19,3.623466
-28.019098,74,3.79199
-42.700146,62,3.918502
-15.618646,50,4.020017
-26.809134,76,4.175727
-24.240611,72,4.32793
-12.291584,17,4.364117
-18.849867,66,4.495626
-22.183407,37,4.568134
-18.028619,66,4.705643
-27.756878,44,4.796859
-18.97529,61,4.9259
-38.026651,61,5.055621
-32.890308,61,5.175074
-15.144436,52,5.279583
-28.908096,39,5.360913
-36.015602,58,5.479421
-28.741844,60,5.600559
-14.934209,30,5.659576
-31.392301,68,5.799631
-29.946582,51,5.901658
-11.983562,40,5.983677
-29.292102,36,6.05799
-22.252496,49,6.155503
-26.965607,65,6.279621
-24.89875,50,6.379704
-22.176307,34,6.461789
-30.820896,42,6.558224
-42.834064,70,6.695731
-15.704032,41,6.779858
-26.90111,63,6.902874
-40.244093,63,7.043866
-22.72082,51,7.154885
-18.041377,56,7.267217
-31.509025,48,7.368729
-24.057526,55,7.483237
-40.493301,63,7.611745
-30.412382,41,7.697883
-20.659269,68,7.828932
-22.164922,44,7.926067
-12.833358,35,8.00117
-19.8736,44,8.089679
-17.183221,28,8.151189
-25.796014,35,8.224191
-31.828278,66,8.35709
-32.397007,46,8.448152
-14.839705,20,8.486151
-14.935018,25,8.534155
-19.049258,61,8.672419
-25.992856,55,8.802722
-23.915243,57,8.939325
-17.73318,36,9.018325
-18.541403,34,9.091834
-10.964529,39,9.180171
-16.27603,27,9.235429
-17.371655,53,9.342444
-10.806009,27,9.395444
-9.776987,46,9.488954
-11.524227,40,9.570461
-15.654936,27,9.624463
-34.546143,69,9.764916
-22.827492,38,9.843105
-23.245767,62,9.968216
-21.917438,36,10.042478
-23.116721,56,10.1606
-5.487526,23,10.209601
-12.892466,22,10.25193
-19.032081,38,10.328934
-19.404077,71,10.475674
-19.325084,49,10.574008
-20.645591,44,10.662515
-18.774097,39,10.74057
-9.670408,40,10.819569
-8.662487,15,10.847609
-12.089526,41,10.928611
-12.775796,52,11.034817
-20.694759,49,11.135988
-15.210708,61,11.258636
-17.689251,34,11.326058
-20.158594,58,11.446189
-20.311054,38,11.523189
-20.31242,55,11.637701
-15.088035,49,11.738209
-17.301561,45,11.830379
-12.900407,25,11.879433
-20.861823,53,11.983907
-15.704088,52,12.071414
-8.404333,45,12.145726
-10.24799,27,12.192727
-9.327121,23,12.231729
-28.097434,80,12.363442
-28.733775,74,12.510525
-7.005825,26,12.563686
-6.360349,18,12.599686
-10.875295,40,12.679892
-11.869617,29,12.740895
-11.034842,35,12.812089
-19.523453,44,12.903108
-24.203883,57,13.025158
-11.871308,44,13.11621
-11.649484,45,13.209364
-5.001889,36,13.285379
-19.148641,42,13.368436
-14.46018,50,13.482272
-12.146289,54,13.594753
-13.266363,31,13.663869
-18.785315,22,13.705869
-24.54205,55,13.814885
-20.520897,43,13.901395
-17.433741,45,13.994904
-14.724872,39,14.076919
-7.990101,29,14.13492
-10.845365,58,14.255019
-8.061697,13,14.283019
-16.453052,48,14.388086
-19.17416,43,14.478311
-16.140364,36,14.548768
-4.993786,37,14.619768
-23.415446,66,14.752405
-13.596818,42,14.838406
-7.650323,35,14.90974
-26.878904,71,15.055426
-21.76393,35,15.126426
-10.449331,50,15.229441
-15.402337,52,15.331949
-4.932206,25,15.381454
-7.778929,40,15.460607
-21.165385,61,15.587298
-19.071042,42,15.67285
-15.405503,31,15.735357
-5.233166,54,15.844964
-23.948139,35,15.912964
-11.623328,31,15.975057
-10.598677,47,16.072145
-20.941778,46,16.163522
-15.977652,37,16.234525
-8.940145,41,16.321029
-18.593145,48,16.41506
-7.637557,45,16.527143
-3.860509,17,16.563226
-9.009176,34,16.631229
-13.736051,38,16.707239
-17.172055,44,16.798747
-14.88547,36,16.870255
-20.020405,56,16.987326
-8.31626,33,17.055685
-4.800053,15,17.085684
-9.971506,45,17.176193
-8.185227,46,17.274701
-8.305022,34,17.343206
-16.701446,38,17.421208
-15.102031,54,17.532259
-12.019327,49,17.630383
-10.788831,32,17.694751
-6.019393,21,17.738347
-15.656864,44,17.827806
-6.155594,17,17.85937
-7.38247,32,17.92537
-8.102245,51,18.030454
-11.942722,29,18.084665
-5.089273,63,18.21472
-12.824486,57,18.329789
-4.812986,25,18.383102
-14.968722,40,18.46061
-1.374703,19,18.500609
-10.173296,38,18.577776
-14.237614,56,18.68784
-10.115808,48,18.766013
-11.256287,51,18.852392
-13.133102,41,18.921393
-6.242648,32,18.973901
-9.87688,37,19.039903
