#{"t_start": 1778151300.5207481, "env_id": "V2GEnv-continuous"}
r,l,t
-7.950086,32,1.146649
-4.786191,8,1.14865
-2.450968,14,1.150156
-5.775733,15,1.151156
-3.302319,8,1.152156
-7.172805,16,1.154159
-2.851206,10,1.155158
-5.973241,16,1.157157
-3.254548,18,1.159156
-4.710081,17,1.162157
-4.326988,13,1.164157
-4.893598,11,1.165156
-4.040075,6,1.166156
-4.259294,16,1.168155
-3.958204,13,1.169155
-5.738642,19,1.171156
-5.953033,24,1.174157
-6.994792,28,1.177155
-2.957784,7,1.178156
-3.280437,11,1.179155
-2.960781,8,1.180155
-7.560969,18,1.182157
-5.674383,20,1.184156
-5.367339,14,1.185157
-2.867775,12,1.187157
-2.90338,17,1.189156
-8.15716,34,1.192155
-2.93368,14,1.194155
-7.082,19,1.196156
-1.202941,7,1.196156
-4.862559,23,1.199156
-3.491864,11,1.200158
-6.292194,14,1.202157
-5.508863,16,1.203157
-5.666052,20,1.205157
-3.409744,19,1.207156
-3.414965,14,1.209156
-4.933203,20,1.211156
-4.394235,15,1.213159
-3.740907,11,1.214156
-3.915836,6,1.215156
-6.253035,21,1.217155
-4.411321,12,1.218156
-6.082103,21,1.220155
-4.184425,19,1.222155
-4.51248,19,1.224155
-8.275872,12,1.225156
-6.401461,23,1.228156
-5.812604,12,1.229157
-7.626182,29,1.232156
-3.752443,9,1.233156
-11.110373,30,1.236159
-8.436258,26,1.238159
-5.477075,19,1.24116
-3.143147,9,1.24216
-6.566044,16,1.24516
-2.758972,16,1.247159
-5.774547,17,1.248662
-1.402636,6,1.249667
-4.885177,12,1.250667
-7.496023,22,1.252666
-4.669463,9,1.253667
-7.763932,13,2.047729
-8.462648,18,2.097751
-16.18498,23,2.163262
-48.971261,86,2.345392
-29.129183,53,2.455541
-19.838995,42,2.539547
-16.118573,33,2.607858
-18.218235,30,2.66737
-13.18541,20,2.713369
-30.897734,56,2.832883
-10.484649,19,2.872395
-19.422925,27,2.929394
-29.676717,41,3.016459
-24.58507,69,3.157486
-36.606698,51,3.270582
-33.381062,67,3.414021
-15.593297,47,3.515534
-18.607363,53,3.638031
-22.502977,61,3.765957
-11.23214,25,3.818955
-16.519593,35,3.891466
-24.484962,59,4.0137
-28.360445,51,4.126662
-9.422552,23,4.177035
-26.862148,42,4.272737
-17.599579,45,4.388783
-22.681511,47,4.493864
-18.831129,34,4.569962
-27.76541,40,4.656031
-31.863289,45,4.756497
-21.496628,50,4.863005
-24.623399,54,4.978258
-21.74608,45,5.073395
-11.436999,25,5.125395
-8.066876,15,5.155456
-6.134098,15,5.185454
-15.588156,32,5.251786
-8.630224,26,5.303786
-15.059922,42,5.4443
-6.6972,10,5.470353
-6.605492,13,5.509352
-6.932093,19,5.556381
-11.29716,24,5.623462
-21.235034,44,5.733507
-9.561676,28,5.809656
-19.868864,37,5.899691
-4.802438,13,5.929691
-13.664055,41,6.014829
-7.196554,18,6.054217
-12.897662,38,6.13622
-20.461255,58,6.265672
-13.957308,39,6.351574
-4.477183,12,6.377578
-5.909263,7,6.394084
-8.776723,26,6.451596
-4.568132,9,6.472595
-14.368384,33,6.542601
-13.560282,25,6.596992
-5.564106,10,6.616992
-15.999254,31,6.679501
-19.009964,28,6.738503
-15.081432,21,6.781751
-9.911277,25,6.833752
-9.948168,18,6.869925
-12.919781,40,6.953149
-15.295176,36,7.027149
-11.18877,42,7.111175
-5.70644,9,7.129176
-12.944698,37,7.205228
-11.80265,27,7.27818
-7.678494,45,7.412438
-10.973662,40,7.536584
-6.686622,25,7.607094
-7.003675,25,7.669604
-2.508056,6,7.683605
-7.839563,35,7.761687
-6.387123,17,7.798687
-11.977761,34,7.875909
-10.575997,30,7.941912
-3.167344,19,7.983939
-7.955104,42,8.076982
-5.651558,12,8.103982
-9.021896,30,8.170022
-2.446692,7,8.187022
-3.991321,7,8.202022
-1.786162,7,8.217024
-5.528621,21,8.262255
-7.540814,14,8.292255
-8.705549,21,8.335255
-4.147576,13,8.36328
-10.048757,17,8.40367
-12.060507,39,8.484654
-4.200291,32,8.552502
-1.506184,12,8.58101
-4.001905,26,8.639012
-4.603354,17,8.674517
-3.296544,9,8.693517
-8.738022,39,8.774658
-3.033244,17,8.813065
-2.642697,9,8.831065
-5.01041,28,8.889572
-1.820981,13,8.915572
-5.169606,11,8.937573
-5.78627,21,8.981632
-3.390185,15,9.013633
-4.673819,19,9.051635
-5.363023,14,9.082142
-3.781917,10,9.102141
-4.130819,5,9.113141
-1.573076,10,9.13314
-1.943813,19,9.175964
-5.322117,28,9.231964
-2.776034,23,9.282123
-3.063125,7,9.297123
-5.234636,33,9.364634
-1.988052,8,9.380634
-7.837879,32,9.447206
-1.638021,25,9.503719
-4.646587,12,9.528719
-3.118149,22,9.575228
-2.635271,17,9.609227
-0.533499,20,9.653232
-2.189207,7,9.669739
-3.24668,13,9.696739
-2.320106,4,9.705739
-3.565574,12,9.730739
-3.109278,12,9.75625
-4.426893,22,9.80325
-4.383321,25,9.854284
-3.98508,23,9.901284
-1.912349,5,9.912284
-3.882098,15,9.944287
-4.472891,10,9.965502
-2.387875,20,10.006503
-3.19146,14,10.034503
-3.152235,17,10.069011
-1.322111,17,10.114868
-3.840877,13,10.144897
-1.958768,14,10.179404
-3.308266,11,10.204997
-2.946806,22,10.274612
-1.716433,7,10.293612
-3.50681,14,10.325171
-4.099743,25,10.376526
-3.152338,13,10.405528
-1.074829,17,10.445531
-2.261949,24,10.512377
-3.737715,29,10.59456
-4.467544,19,10.632811
-5.065978,15,10.666051
-2.067743,16,10.706557
-2.939424,29,10.779069
-2.717573,16,10.822069
-1.704018,6,10.83607
-2.57197,19,10.882132
-2.277105,11,10.911132
-3.005504,27,10.97429
-3.28478,5,10.985289
-3.162144,16,11.025496
-2.322357,12,11.057278
-2.924843,20,11.104799
-4.431249,12,11.134208
-1.127782,26,11.197258
-3.006808,8,11.215258
-2.142259,17,11.253107
-3.067638,27,11.311748
-1.423394,5,11.322744
-0.369246,29,11.404877
-1.039838,10,11.425877
-2.041649,23,11.476385
-0.603007,10,11.498386
-1.897141,18,11.537384
-2.355426,6,11.550389
-2.179356,8,11.569054
-2.414669,15,11.600124
-2.19406,15,11.630123
-1.949356,14,11.658634
-1.567711,34,11.728554
-1.220538,15,11.759613
-0.993598,16,11.793613
-1.970451,11,11.818203
-2.033502,9,11.837203
-1.053493,11,11.860716
-1.842627,15,11.894085
-3.189532,18,11.933084
-3.448993,20,11.974596
-3.096632,8,11.991596
-2.092883,9,12.010596
-2.429075,17,12.045599
-2.509951,8,12.062678
-3.303704,27,12.116677
-0.863064,13,12.145682
-3.538601,9,12.162757
-2.253544,25,12.212757
-0.228035,15,12.244761
-2.005926,14,12.272791
-0.625129,12,12.296791
-2.959731,15,12.327791
-1.211807,14,12.356821
-7.550344,15,12.387821
-3.08841,30,12.449826
-3.065422,36,12.522027
-2.50464,9,12.540031
-1.408483,15,12.571503
-0.554313,15,12.603503
-0.434851,5,12.613503
-0.222645,15,12.642507
-3.320233,15,12.677028
-0.673861,27,12.736274
-3.960681,15,12.767555
-1.375247,11,12.790554
-0.506245,22,12.838864
-1.366963,20,12.880378
-1.209779,15,12.913379
-0.693569,45,13.00694
-1.851194,16,13.039941
-2.931363,17,13.074453
-2.686844,35,13.146457
-1.093082,18,13.182966
-2.259484,18,13.218967
-3.477823,14,13.247969
-1.393421,25,13.298477
-2.57513,11,13.321477
-1.33653,19,13.363638
-1.74237,20,13.406638
0.122204,16,13.440638
-0.43718,21,13.486788
-1.153732,18,13.524787
-1.972372,25,13.582981
-1.409741,36,13.660083
-1.023185,40,13.745086
-1.831417,7,13.759203
-4.770598,11,13.783203
-1.45566,20,13.834204
-1.21232,31,13.907713
-2.065657,19,13.946718
-0.629374,14,13.976228
-3.349642,8,13.993228
-3.370245,22,14.038227
-2.325711,12,14.063329
-0.38047,9,14.082329
-6.846169,12,14.108329
-1.966344,23,14.154333
-3.724314,21,14.199414
-2.110478,24,14.248419
-1.379345,12,14.271451
-0.220044,17,14.31145
-1.638707,22,14.367517
-1.893083,9,14.385517
-2.018232,9,14.403517
-2.969389,6,14.415519
-0.596699,22,14.459798
-3.42732,11,14.481798
-0.284176,17,14.515799
-1.327117,17,14.553802
-0.659968,15,14.584115
-1.683673,16,14.61711
-1.569978,16,14.650113
-0.714941,23,14.699239
-0.419555,20,14.741238
0.463569,40,14.823545
-0.76946,26,14.880527
-3.302266,6,14.892532
-1.467145,14,14.920579
-1.418665,27,14.976759
-1.727456,17,15.011759
-0.963402,43,15.09927
0.080605,24,15.148273
-0.659913,10,15.16878
-2.136122,23,15.21578
-0.515442,18,15.252784
-0.228722,37,15.327267
-2.171769,30,15.389776
-1.968963,14,15.419775
-0.745978,26,15.472868
-1.534918,19,15.510868
-1.309045,19,15.549873
-1.16315,40,15.629619
-1.538256,10,15.651622
-2.180073,10,15.670132
-1.971779,10,15.690132
-2.295213,12,15.714132
-1.060488,18,15.752136
-1.491716,23,15.798191
-1.359733,10,15.818192
-1.520691,27,15.873353
-2.325983,32,15.938353
-1.122223,22,15.98551
-1.229694,27,16.038509
-1.517949,26,16.091683
-3.126441,9,16.109684
-1.27316,28,16.166892
-0.156992,11,16.188892
-3.162508,10,16.208891
-0.877338,23,16.253896
-1.340569,10,16.274306
-2.670336,19,16.314307
-1.020248,24,16.360818
-0.864079,31,16.423818
-1.222242,25,16.473918
-0.5955,16,16.506917
-1.006319,7,16.521918
-0.550202,32,16.584066
-0.527599,19,16.621067
-2.047019,29,16.679178
-1.622136,15,16.708179
-1.137042,19,16.746182
-2.09819,34,16.814353
-1.81689,11,16.836354
-1.620077,20,16.87751
-1.5563,8,16.893508
-1.177666,12,16.918508
-1.951434,13,16.944509
-1.373632,13,16.970911
-0.757978,21,17.016159
-1.57388,25,17.066717
-1.414715,17,17.099722
-0.348708,10,17.12023
-0.327205,8,17.13623
-1.319045,24,17.185742
-0.402917,26,17.238742
-3.950185,23,17.28576
-0.221134,32,17.349764
-0.892874,19,17.388917
-0.824218,12,17.411918
-1.07618,13,17.438918
-2.690812,7,17.452921
-0.378529,24,17.502042
-0.898583,8,17.518042
-1.713575,15,17.547047
-1.889245,11,17.569557
-1.997072,10,17.590558
-3.17128,9,17.608557
-0.252429,17,17.643558
-0.218778,11,17.666069
-0.509055,25,17.71907
-1.188976,21,17.763582
-0.842515,13,17.791582
-0.562548,19,17.831582
-2.236041,24,17.885095
-2.540146,10,17.908096
-0.984123,28,17.968149
-1.797622,11,18.004148
-0.621694,11,18.031148
-1.719937,10,18.053152
-3.741891,10,18.073187
-0.362651,14,18.10325
-1.523487,4,18.111251
-0.80782,10,18.13225
-1.188299,7,18.147253
-3.706298,17,18.182318
-0.282922,24,18.229318
-0.389023,15,18.25932
-1.498076,17,18.295832
-2.046132,12,18.320833
-0.750874,17,18.357835
-1.927616,24,18.427344
0.343326,23,18.482425
-0.752084,28,18.541425
-1.372315,19,18.579934
-1.681209,12,18.605934
-0.601069,25,18.655936
-2.058839,22,18.700442
-1.495029,35,18.77195
-1.570082,13,18.79895
-0.385712,17,18.83495
-0.247748,28,18.89246
-1.175188,23,18.93946
-0.029897,8,18.956462
-0.950651,16,18.988696
-0.314325,13,19.014697
-0.542621,20,19.068026
-0.299661,9,19.097026
-0.314,20,19.150815
-0.444938,36,19.225083
-0.486186,26,19.281403
-1.649718,21,19.323404
-1.13602,9,19.341403
-2.571099,16,19.37646
-1.588209,22,19.42146
-1.011893,19,19.460463
-1.22881,15,19.493491
-2.641175,28,19.549493
-3.179806,6,19.561493
-0.705933,21,19.60252
-1.053261,22,19.647525
-0.508988,13,19.673564
-0.155202,26,19.726563
-0.433183,15,19.755568
-0.315809,20,19.795696
-0.933726,6,19.807695
-0.570491,13,19.834696
-3.012015,27,19.888758
-0.881284,8,19.905758
-1.337945,9,19.924758
-0.646112,29,19.985108
0.068856,10,20.006108
-1.970068,20,20.046108
-0.6747,5,20.056111
-1.472984,12,20.081617
-0.120592,39,20.15862
-1.153317,13,20.183839
0.373937,24,20.231839
0.457939,18,20.267957
-1.563652,9,20.285957
-0.062707,15,20.315957
-0.311835,13,20.342957
-0.085834,26,20.396213
-0.218274,27,20.450215
-1.237754,15,20.480616
-0.640281,32,20.544616
-1.823126,7,20.559618
-1.291663,13,20.585125
-0.456535,17,20.620367
-0.911335,22,20.665635
-0.153893,15,20.695198
0.059855,26,20.747198
-0.306372,16,20.779706
-0.631731,22,20.823706
-0.287643,24,20.868888
-1.640853,17,20.901889
-1.88407,9,20.919888
-0.671357,28,20.973917
-1.476596,4,20.981917
-1.411336,20,21.019917
0.006919,42,21.100188
-1.996944,23,21.144187
-0.145808,18,21.178624
-1.186897,21,21.219624
-0.753943,24,21.280168
-0.834781,26,21.341381
-0.471351,28,21.40511
0.570312,29,21.475625
0.31544,30,21.542625
-0.482974,12,21.56971
-1.482993,18,21.61071
0.105189,26,21.669833
-0.443686,29,21.734833
0.064398,13,21.767342
-3.652359,13,21.798343
-0.510279,10,21.821343
-1.092132,16,21.857345
0.774996,39,21.944852
-0.58652,7,21.960856
-1.003539,17,21.998971
-0.272621,17,22.037971
-0.780001,25,22.096111
-1.250639,12,22.12211
